good,anchor,species,gene_name,description
0,0,s__Cryptobacteroides sp034089285,FELCFHKP_01394,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,OLBLADKB_00718,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,CNAGNAME_00948,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,PMGOFJOK_01051,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,HMMKHJPF_01279,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,OHOEGCNB_00840,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,PCBBEIBO_00320,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,KCCFHJAA_01076,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,BOALNEDM_00067,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,FELCFHKP_00696,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,FELCFHKP_00402,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,CNAGNAME_00992,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,FELCFHKP_00032,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,FPIFHBMH_01139,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,NPOLDECK_00948,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,PMGOFJOK_00567,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,NPOLDECK_00055,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,PEKMIKHI_00001,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,GLKIOBHJ_00088,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,FELCFHKP_00703,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,OCHBJKLI_00472,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,GDKPDOMG_00903,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,JMHMILHI_00102,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,FELCFHKP_01384,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,GGPMIOKJ_00509,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,MDBCOJHL_00827,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,KIEIMPHD_01493,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,CKOMHICM_01072,(not reviewed)
